complaint_id,customer_id,issue_type,severity,complaint_date,resolution_status,resolution_date
CMP00030,CUST004846,Reward Points Missing,Critical,10-10-2024,Open,31-10-2024
CMP00031,CUST013410,Card Not Received,High,14-01-2024,In Progress,16-08-2023
CMP00032,CUST012297,Wrong Amount Charged,Low,22-10-2025,Pending Review,28-10-2025
CMP00033,CUST004137,Late Fee Dispute,Critical,08-07-2022,Resolved,24-08-2022
CMP00034,CUST012479,Interest Rate Query,Low,10-05-2025,Resolved,16-08-2023
CMP00035,CUST014110,Statement Error,Low,21-10-2025,Open,Low
CMP00036,CUST000353,Interest Rate Query,Medium,16-09-2025,In Progress,30-10-2025
CMP00037,CUST007594,Interest Rate Query,Medium,03-07-2026,Pending Review,14-03-2026
CMP00038,CUST009923,Wrong Amount Charged,Low,30-03-2025,Closed,05-12-2025
CMP00039,CUST010726,Statement Error,High,29-09-2022,Resolved,10-11-2022
CMP00040,CUST011165,Billing Dispute,Low,24-08-2022,Open,03-09-2022
CMP00041,CUST011239,App Not Working,Low,23-07-2025,Open,27-08-2025
CMP00042,CUST001700,Billing Dispute,High,04-02-2026,Escalated,16-03-2026
CMP00043,CUST003389,Statement Error,Low,01-04-2023,Open,Low
CMP00044,CUST012964,Fraudulent Charge,High,01-06-2023,Escalated,15-06-2023
CMP00045,CUST010767,Statement Error,Critical,05-09-2025,Escalated,19-10-2025
CMP00046,CUST000015,Billing Dispute,Medium,05-03-2026,In Progress,31-03-2026
CMP00047,CUST014617,Card Not Received,High,15-03-2025,Closed,20-04-2025
CMP00048,CUST002858,App Not Working,Critical,02-06-2026,Resolved,17-07-2026
CMP00049,CUST000675,Late Fee Dispute,Low,13-06-2025,Resolved,07-11-2025
CMP00050,CUST004956,Fraudulent Charge,High,01-01-2026,Open,08-02-2026
CMP00051,CUST012557,Statement Error,Low,05-08-2025,Resolved,16-08-2023
CMP00052,CUST001084,Reward Points Missing,Low,03-09-2022,Open,15-10-2022
CMP00053,CUST012330,App Not Working,Low,15-11-2023,Open,27-12-2023
CMP00054,CUST002782,Card Damaged,Low,18-07-2023,Open,22-07-2023
CMP00055,CUST013225,Reward Points Missing,High,09-12-2023,Pending Review,16-08-2023
CMP00056,CUST001276,App Not Working,Low,03-03-2025,In Progress,01-04-2025
CMP00057,CUST008501,Statement Error,High,03-04-2025,Resolved,16-08-2023
CMP00058,CUST008126,App Not Working,Low,04-07-2026,Closed,08-12-2026
CMP00059,CUST011494,Billing Dispute,Medium,30-10-2025,Resolved,12-06-2025
CMP00060,CUST009632,Statement Error,Critical,03-04-2022,Resolved,16-08-2023
CMP00061,CUST005698,Wrong Amount Charged,Low,27-05-2024,Open,16-08-2023
CMP00062,CUST009289,Wrong Amount Charged,Medium,21-05-2025,Resolved,31-05-2025
CMP00063,CUST014874,Fraudulent Charge,Low,21-03-2023,Resolved,04-09-2023
CMP00064,CUST007492,Fraudulent Charge,Critical,11-03-2025,In Progress,14-04-2025
CMP00065,CUST009942,Interest Rate Query,Low,27-10-2025,Open,16-11-2025
CMP00066,CUST006403,Card Damaged,Low,18-04-2024,Open,Low
CMP00067,CUST007829,Interest Rate Query,Medium,09-10-2022,Closed,27-09-2022
CMP00068,CUST012097,Billing Dispute,Low,15-04-2025,Resolved,16-08-2023
CMP00069,CUST005685,Reward Points Missing,Low,16-06-2022,Pending Review,28-07-2022
CMP00070,CUST005554,Wrong Amount Charged,Low,02-09-2022,Open,18-09-2022
CMP00071,CUST006813,Fraudulent Charge,High,15-07-2023,Escalated,07-08-2023
CMP00072,CUST004899,App Not Working,Low,08-05-2023,Open,Low
CMP00073,CUST010287,Statement Error,Low,21-08-2024,Pending Review,10-03-2024
CMP00074,CUST005256,Reward Points Missing,Medium,02-07-2024,Pending Review,25-02-2024
CMP00075,CUST004982,Reward Points Missing,Medium,21-04-2025,Pending Review,28-04-2025
CMP00076,CUST012862,Billing Dispute,Low,14-07-2022,Closed,14-07-2022
CMP00077,CUST007637,Interest Rate Query,Medium,05-05-2022,Open,06-10-2022
CMP00078,CUST012794,Interest Rate Query,Low,31-03-2026,Open,27-04-2026
CMP00079,CUST002685,Late Fee Dispute,High,05-02-2024,Closed,31-05-2024
CMP00080,CUST008090,Card Not Received,High,02-04-2023,Resolved,02-04-2023
CMP00081,CUST005685,Card Not Received,Critical,22-12-2023,Resolved,27-01-2024
CMP00082,CUST010516,Wrong Amount Charged,Low,20-03-2026,Pending Review,20-03-2026
CMP00083,CUST006832,Wrong Amount Charged,Medium,26-02-2025,Resolved,03-02-2025
CMP00084,CUST014705,Card Damaged,High,27-09-2023,Open,23-10-2023
CMP00085,CUST013948,Card Damaged,Low,19-06-2023,Open,18-07-2023
CMP00086,CUST003127,Statement Error,Medium,03-04-2024,Pending Review,04-01-2024
CMP00087,CUST013415,App Not Working,High,11-02-2026,Open,16-08-2023
CMP00088,CUST014658,Statement Error,Low,28-03-2026,Open,16-08-2023
CMP00089,CUST013749,Card Damaged,High,01-01-2022,In Progress,23-01-2022
CMP00090,CUST006500,Reward Points Missing,Low,10-06-2023,Resolved,23-07-2023
CMP00091,CUST001565,Late Fee Dispute,High,19-05-2024,Open,16-08-2023
CMP00092,CUST006982,Interest Rate Query,High,02-12-2023,Pending Review,16-08-2023
CMP00093,CUST013730,Billing Dispute,High,28-04-2024,In Progress,18-05-2024
CMP00094,CUST007944,Wrong Amount Charged,Low,14-09-2024,Pending Review,16-08-2023
CMP00095,CUST013583,Reward Points Missing,Medium,10-06-2024,Pending Review,18-06-2024
CMP00096,CUST000974,Billing Dispute,Low,22-11-2024,In Progress,12-12-2024
CMP00097,CUST001715,Card Not Received,Medium,06-01-2023,Pending Review,25-01-2023
CMP00098,CUST014408,Interest Rate Query,Low,06-10-2023,In Progress,29-10-2023
CMP00099,CUST014250,Wrong Amount Charged,High,14-06-2025,Pending Review,16-08-2023
CMP00100,CUST005447,Interest Rate Query,Low,20-02-2025,Open,13-03-2025
CMP00101,CUST013502,Statement Error,Low,28-07-2025,Open,04-08-2025
CMP00102,CUST003212,Reward Points Missing,High,18-08-2026,Pending Review,23-09-2026
CMP00103,CUST010767,Fraudulent Charge,High,27-04-2026,Escalated,28-04-2026
CMP00104,CUST002049,Fraudulent Charge,Low,20-12-2023,Open,02-02-2024
CMP00105,CUST002118,Statement Error,Medium,08-09-2026,Resolved,20-09-2026
CMP00106,CUST012518,Late Fee Dispute,High,15-03-2022,Open,18-03-2022
CMP00107,CUST005191,App Not Working,Critical,18-10-2024,In Progress,26-11-2024
CMP00108,CUST003341,App Not Working,High,30-10-2022,Escalated,16-08-2023
CMP00109,CUST005945,Card Damaged,Medium,18-11-2025,Closed,16-08-2023
CMP00110,CUST000691,Late Fee Dispute,Critical,16-06-2026,Resolved,16-08-2023
CMP00111,CUST005430,Wrong Amount Charged,Low,28-12-2023,Resolved,01-02-2024
CMP00112,CUST001904,Card Not Received,Low,03-05-2023,Open,23-05-2023
CMP00113,CUST002430,Card Damaged,Low,09-07-2023,Open,13-09-2023
CMP00114,CUST012071,Card Not Received,Low,15-01-2024,Open,19-01-2024
CMP00115,CUST006507,Late Fee Dispute,Low,01-02-2026,Escalated,16-08-2023
CMP00116,CUST013047,Late Fee Dispute,High,18-04-2025,Open,05-07-2025
CMP00117,CUST007153,Card Not Received,Low,28-12-2023,Resolved,14-01-2024
CMP00118,CUST001195,Wrong Amount Charged,Medium,06-01-2026,Closed,06-12-2026
CMP00119,CUST008414,Card Damaged,Medium,07-05-2025,In Progress,16-08-2023
CMP00120,CUST011661,Fraudulent Charge,High,12-06-2024,Closed,16-06-2024
CMP00121,CUST004387,Reward Points Missing,Low,23-12-2025,Closed,27-01-2026
CMP00122,CUST003285,Statement Error,High,31-05-2023,Open,28-06-2023
CMP00123,CUST011126,Card Not Received,Low,30-07-2025,Closed,16-08-2023
CMP00124,CUST007917,Interest Rate Query,High,25-12-2023,Resolved,16-08-2023
CMP00125,CUST008288,Fraudulent Charge,Low,22-06-2025,Escalated,19-07-2025
CMP00126,CUST008142,Interest Rate Query,Low,08-12-2022,Open,14-01-2023
CMP00127,CUST007178,Reward Points Missing,Low,13-02-2023,Escalated,25-03-2023
CMP00128,CUST007085,Wrong Amount Charged,Medium,25-04-2023,Resolved,05-08-2023
CMP00129,CUST000947,App Not Working,High,03-11-2023,Escalated,03-04-2023
CMP00130,CUST006432,Card Damaged,Critical,28-07-2026,Resolved,31-08-2026
CMP00131,CUST010352,Fraudulent Charge,Medium,30-07-2023,Escalated,18-08-2023
CMP00132,CUST001299,Late Fee Dispute,Medium,30-04-2026,Resolved,16-08-2023
CMP00133,CUST004758,Late Fee Dispute,Medium,03-12-2024,Resolved,19-03-2024
CMP00134,CUST013188,Card Damaged,Medium,18-05-2023,In Progress,25-05-2023
CMP00135,CUST013931,Card Damaged,Low,29-08-2023,Resolved,16-08-2023
CMP00136,CUST011831,Late Fee Dispute,Low,07-09-2022,Closed,06-08-2022
CMP00137,CUST012290,Statement Error,Critical,17-10-2023,In Progress,25-11-2023
CMP00138,CUST009172,Wrong Amount Charged,Medium,01-10-2025,Open,31-10-2025
CMP00139,CUST009207,Fraudulent Charge,High,18-04-2022,Escalated,26-04-2022
CMP00140,CUST012865,Wrong Amount Charged,High,13-12-2025,Escalated,30-12-2025
CMP00141,CUST003756,Statement Error,Medium,17-05-2024,In Progress,20-06-2024
CMP00142,CUST013405,Wrong Amount Charged,Low,26-08-2025,Open,10-06-2025
CMP00143,CUST010719,Reward Points Missing,Critical,16-04-2025,Resolved,28-05-2025
CMP00144,CUST002244,Card Not Received,Low,27-06-2025,Open,Low
CMP00145,CUST010828,Statement Error,Medium,29-12-2023,Closed,30-01-2024
CMP00146,CUST008670,Card Damaged,Low,20-11-2023,Open,16-08-2023
CMP00147,CUST010007,Card Not Received,Medium,23-07-2025,Closed,16-08-2023
CMP00148,CUST006268,Late Fee Dispute,High,01-09-2022,Resolved,02-03-2022
CMP00149,CUST012646,Wrong Amount Charged,Low,02-08-2024,Pending Review,Low
CMP00150,CUST013434,Statement Error,High,04-11-2024,Pending Review,25-05-2024
CMP00151,CUST011481,Reward Points Missing,Critical,20-07-2022,Resolved,24-07-2022
CMP00152,CUST004365,Late Fee Dispute,Medium,01-08-2023,Pending Review,Low
CMP00153,CUST012733,Card Damaged,High,22-09-2024,Open,30-10-2024
CMP00154,CUST010389,Late Fee Dispute,High,26-04-2022,Escalated,05-02-2022
CMP00155,CUST004434,Reward Points Missing,Low,05-08-2024,Open,29-05-2024
CMP00156,CUST010874,Fraudulent Charge,High,28-02-2023,Closed,05-03-2023
CMP00157,CUST009914,Card Damaged,Critical,30-10-2022,Open,11-12-2022
CMP00158,CUST003585,Billing Dispute,Critical,05-05-2024,Pending Review,16-08-2023
CMP00159,CUST001887,App Not Working,Low,28-08-2022,Open,Low
CMP00160,CUST006915,Reward Points Missing,Low,22-04-2022,Open,20-05-2022
CMP00161,CUST010047,Card Damaged,Low,20-02-2023,Escalated,04-03-2023
CMP00162,CUST007374,Late Fee Dispute,Low,18-10-2025,Resolved,08-11-2025
CMP00163,CUST004392,Statement Error,Low,22-09-2024,Pending Review,06-10-2024
CMP00164,CUST008868,Statement Error,Low,10-07-2022,Resolved,08-11-2022
CMP00165,CUST011280,App Not Working,Critical,16-02-2023,Open,18-02-2023
CMP00166,CUST011780,Late Fee Dispute,Medium,05-04-2023,In Progress,16-05-2023
CMP00167,CUST006439,App Not Working,Medium,16-10-2024,Pending Review,16-10-2024
CMP00168,CUST003754,Statement Error,Low,04-02-2025,Open,20-04-2025
CMP00169,CUST012868,Late Fee Dispute,Low,20-08-2022,Open,09-02-2022
CMP00170,CUST005875,Billing Dispute,High,05-06-2022,Open,17-07-2022
CMP00171,CUST009638,Card Damaged,High,24-02-2022,Resolved,05-04-2022
CMP00172,CUST011633,Late Fee Dispute,High,12-10-2024,Open,13-01-2025
CMP00173,CUST011970,Reward Points Missing,Low,02-09-2024,Open,25-09-2024
CMP00174,CUST000737,Reward Points Missing,Low,26-04-2025,Escalated,26-05-2025
CMP00175,CUST009814,Reward Points Missing,Medium,22-06-2026,Closed,18-07-2026
CMP00176,CUST000353,Wrong Amount Charged,Low,04-12-2022,Pending Review,21-12-2022
CMP00177,CUST013495,Late Fee Dispute,High,10-12-2022,Pending Review,16-08-2023
CMP00178,CUST004248,Billing Dispute,Low,23-08-2024,Open,Low
CMP00179,CUST008311,Wrong Amount Charged,Low,02-03-2023,Open,Low
CMP00180,CUST005740,Late Fee Dispute,Low,28-06-2024,Closed,29-06-2024
CMP00181,CUST003439,Wrong Amount Charged,High,02-12-2025,Open,14-01-2026
CMP00182,CUST011127,Interest Rate Query,Low,11-04-2025,Open,11-11-2025
CMP00183,CUST005070,Reward Points Missing,Critical,15-05-2026,Open,15-05-2026
CMP00184,CUST011398,Card Not Received,Low,23-07-2026,Resolved,08-09-2026
CMP00185,CUST007084,Late Fee Dispute,High,18-03-2022,Escalated,13-04-2022
CMP00186,CUST013364,App Not Working,Low,04-08-2023,Open,16-08-2023
CMP00187,CUST014718,Wrong Amount Charged,Low,22-03-2024,Open,04-04-2024
CMP00188,CUST006044,Statement Error,Low,14-07-2024,Escalated,26-08-2024
CMP00189,CUST005075,Card Damaged,Low,17-03-2026,Pending Review,14-04-2026
CMP00190,CUST012440,Card Not Received,Critical,18-03-2023,Resolved,16-08-2023
CMP00191,CUST002542,Late Fee Dispute,Medium,01-08-2023,In Progress,18-02-2023
CMP00192,CUST009525,Fraudulent Charge,Critical,24-01-2022,Resolved,28-01-2022
CMP00193,CUST013116,Card Damaged,Medium,15-04-2023,Closed,26-05-2023
CMP00194,CUST002932,Card Not Received,Low,17-04-2026,Resolved,Low
CMP00195,CUST011281,App Not Working,High,01-08-2023,In Progress,16-08-2023
CMP00196,CUST003024,Statement Error,High,08-10-2025,In Progress,18-08-2025
CMP00197,CUST011768,App Not Working,Low,20-10-2023,Escalated,02-12-2023
CMP00198,CUST005305,App Not Working,Medium,10-11-2024,Open,27-10-2024
CMP00199,CUST011193,Wrong Amount Charged,High,21-06-2023,Open,21-06-2023
CMP00200,CUST004350,Fraudulent Charge,Low,01-08-2026,Resolved,Low
CMP00201,CUST006424,Reward Points Missing,Low,21-09-2023,Open,12-10-2023
CMP00202,CUST005681,App Not Working,Critical,18-04-2023,Pending Review,28-04-2023
CMP00203,CUST014077,App Not Working,Low,24-08-2022,Resolved,16-08-2023
CMP00204,CUST002322,Statement Error,High,03-12-2022,Resolved,01-11-2023
CMP00205,CUST014110,Card Not Received,Medium,11-01-2025,In Progress,19-02-2025
CMP00206,CUST006030,Interest Rate Query,Medium,01-08-2026,Escalated,16-08-2023
CMP00207,CUST000642,Wrong Amount Charged,Critical,26-11-2024,Resolved,01-12-2024
CMP00208,CUST000497,Billing Dispute,High,21-11-2025,Open,16-08-2023
CMP00209,CUST011562,Late Fee Dispute,High,21-05-2025,Resolved,27-06-2025
CMP00210,CUST010975,Wrong Amount Charged,High,14-08-2024,In Progress,13-09-2024
CMP00211,CUST012314,Interest Rate Query,Medium,18-11-2024,Escalated,21-11-2024
CMP00212,CUST004620,App Not Working,Low,12-11-2023,Closed,02-12-2023
CMP00213,CUST003649,Reward Points Missing,Critical,22-09-2025,In Progress,14-10-2025
CMP00214,CUST002125,App Not Working,Medium,14-03-2022,In Progress,06-04-2022
CMP00215,CUST008636,Card Damaged,Low,27-11-2023,Pending Review,Low
CMP00216,CUST010985,Card Damaged,Critical,30-08-2023,In Progress,16-09-2023
CMP00217,CUST012054,Billing Dispute,Low,21-07-2024,Open,23-07-2024
CMP00218,CUST001642,Billing Dispute,Low,11-12-2022,Resolved,22-12-2022
CMP00219,CUST001231,App Not Working,Low,07-08-2026,Open,11-08-2026
CMP00220,CUST007924,Statement Error,Medium,09-04-2025,Escalated,26-04-2025
CMP00221,CUST002797,Late Fee Dispute,Critical,28-02-2026,Open,20-03-2026
CMP00222,CUST004993,Fraudulent Charge,Critical,14-05-2022,Pending Review,28-06-2022
CMP00223,CUST007947,Card Not Received,Critical,02-07-2022,Open,15-03-2022
CMP00224,CUST007460,Billing Dispute,Low,05-05-2024,Escalated,04-06-2024
CMP00225,CUST010599,Fraudulent Charge,Low,11-12-2023,Escalated,17-01-2024
CMP00226,CUST000555,Billing Dispute,Low,23-07-2022,Open,23-08-2022
CMP00227,CUST013443,Interest Rate Query,Medium,04-03-2022,Open,16-08-2023
CMP00228,CUST009353,Interest Rate Query,High,23-03-2026,Open,26-03-2026
CMP00229,CUST002057,App Not Working,Low,11-08-2026,Escalated,18-08-2026
CMP00230,CUST005246,Interest Rate Query,Medium,07-08-2024,Resolved,26-07-2024
CMP00231,CUST011507,Statement Error,Low,26-05-2022,Escalated,20-06-2022
CMP00232,CUST013252,Statement Error,High,07-05-2024,Resolved,16-08-2023
CMP00233,CUST005771,App Not Working,Medium,19-03-2023,Pending Review,20-03-2023
CMP00234,CUST014209,Billing Dispute,High,03-04-2023,Open,30-03-2023
CMP00235,CUST014663,App Not Working,Critical,30-01-2025,Resolved,19-02-2025
CMP00236,CUST009742,Late Fee Dispute,Medium,10-03-2023,Pending Review,16-08-2023
CMP00237,CUST012211,Card Not Received,High,08-06-2026,Pending Review,09-08-2026
CMP00238,CUST003256,Fraudulent Charge,Low,11-03-2025,Open,12-11-2025
CMP00239,CUST012985,Card Damaged,Low,26-05-2025,Open,09-06-2025
CMP00240,CUST014252,Billing Dispute,Low,03-06-2022,Closed,12-03-2022
CMP00241,CUST014358,Statement Error,Medium,29-06-2024,Open,08-11-2024
CMP00242,CUST001679,Late Fee Dispute,Low,13-11-2025,Resolved,17-12-2025
CMP00243,CUST012917,Wrong Amount Charged,Critical,28-04-2024,Closed,31-05-2024
CMP00244,CUST007694,Interest Rate Query,Medium,19-02-2026,Closed,28-03-2026
CMP00245,CUST000997,Wrong Amount Charged,Medium,19-05-2024,Resolved,24-05-2024
CMP00246,CUST007658,Card Not Received,High,17-04-2026,Closed,16-08-2023
CMP00247,CUST014521,Wrong Amount Charged,Low,03-05-2026,Escalated,16-08-2023
CMP00248,CUST010126,Reward Points Missing,Medium,05-03-2024,Escalated,26-05-2024
CMP00249,CUST007977,Interest Rate Query,Low,28-03-2026,Resolved,23-04-2026
CMP00250,CUST004088,Late Fee Dispute,Medium,01-10-2024,Escalated,10-07-2024
CMP00251,CUST013876,Late Fee Dispute,Medium,15-06-2024,In Progress,15-06-2024
CMP00252,CUST013509,Interest Rate Query,Medium,13-02-2026,In Progress,02-03-2026
CMP00253,CUST008997,Card Not Received,Low,28-08-2024,Closed,10-05-2024
CMP00254,CUST013274,Interest Rate Query,High,22-03-2023,Resolved,05-04-2023
CMP00255,CUST005752,Reward Points Missing,Low,04-02-2023,Open,12-03-2023
CMP00256,CUST006697,App Not Working,Low,29-08-2023,Escalated,09-12-2023
CMP00257,CUST002821,Wrong Amount Charged,High,18-06-2024,Open,16-08-2023
CMP00258,CUST011265,Interest Rate Query,Medium,30-10-2022,Closed,12-04-2022
CMP00259,CUST006991,Fraudulent Charge,Low,23-08-2024,Resolved,17-09-2024
CMP00260,CUST008799,Reward Points Missing,Low,03-11-2023,Open,29-11-2023
CMP00261,CUST002593,Card Damaged,Low,06-05-2025,Resolved,16-08-2023
CMP00262,CUST010796,Interest Rate Query,Low,19-02-2025,Open,Low
CMP00263,CUST009603,Statement Error,Low,05-01-2022,In Progress,17-05-2022
CMP00264,CUST008489,Reward Points Missing,High,15-05-2023,Escalated,28-06-2023
CMP00265,CUST001389,Statement Error,Low,16-06-2026,Pending Review,26-07-2026
CMP00266,CUST006215,Reward Points Missing,Medium,28-11-2024,Closed,09-12-2024
CMP00267,CUST014165,Interest Rate Query,Medium,14-09-2023,Resolved,24-09-2023
CMP00268,CUST003951,Card Damaged,Low,14-12-2023,In Progress,16-08-2023
CMP00269,CUST009917,Card Damaged,High,31-12-2022,Resolved,10-02-2023
CMP00270,CUST008519,Late Fee Dispute,Medium,04-11-2024,Resolved,12-10-2024
CMP00271,CUST007923,Late Fee Dispute,Low,26-02-2022,Resolved,09-04-2022
CMP00272,CUST013507,Card Damaged,Medium,06-11-2022,Resolved,21-06-2022
CMP00273,CUST000633,App Not Working,Critical,11-05-2022,Resolved,16-08-2023
CMP00274,CUST013632,App Not Working,High,03-07-2023,Closed,04-04-2023
CMP00275,CUST001219,Statement Error,High,13-01-2024,Open,15-02-2024
CMP00276,CUST002370,App Not Working,Low,12-12-2023,Pending Review,08-01-2024
CMP00277,CUST008554,Card Damaged,Medium,04-08-2025,Open,09-06-2025
CMP00278,CUST010391,Statement Error,Low,29-03-2023,Closed,16-08-2023
CMP00279,CUST005009,Card Damaged,High,09-12-2025,In Progress,20-09-2025
CMP00280,CUST007743,App Not Working,Medium,20-12-2022,Open,15-01-2023
CMP00281,CUST005403,Reward Points Missing,Medium,20-05-2026,Open,20-06-2026
CMP00282,CUST012800,Reward Points Missing,Low,13-04-2026,Open,18-05-2026
CMP00283,CUST001892,Reward Points Missing,High,26-04-2022,Open,16-05-2022
CMP00284,CUST009557,Interest Rate Query,Medium,12-07-2023,Open,16-08-2023
CMP00285,CUST001179,Card Not Received,High,10-09-2025,Open,16-08-2023
CMP00286,CUST003634,Fraudulent Charge,Low,29-05-2022,Escalated,01-06-2022
CMP00287,CUST008070,Card Damaged,Low,26-05-2026,Resolved,16-08-2023
CMP00288,CUST006520,Card Not Received,Low,27-03-2022,Escalated,04-12-2022
CMP00289,CUST004247,Reward Points Missing,High,06-02-2026,Resolved,02-03-2026
CMP00290,CUST010969,Reward Points Missing,Critical,06-01-2026,Open,02-12-2026
CMP00291,CUST009999,Statement Error,Medium,18-05-2026,Closed,24-05-2026
CMP00292,CUST005251,Billing Dispute,Low,27-09-2023,Closed,10-06-2023
CMP00293,CUST003072,Statement Error,Low,29-11-2025,Open,19-12-2025
CMP00294,CUST001903,Reward Points Missing,Low,22-02-2025,Resolved,14-03-2025
CMP00295,CUST009475,Interest Rate Query,Low,26-06-2026,In Progress,08-02-2026
CMP00296,CUST003012,Reward Points Missing,Low,08-10-2024,Open,04-11-2024
CMP00297,CUST004385,Fraudulent Charge,Low,05-08-2026,Resolved,14-08-2026
CMP00298,CUST006653,Wrong Amount Charged,Low,10-08-2026,Open,23-08-2026
CMP00299,CUST003249,Wrong Amount Charged,Low,13-03-2025,Open,25-04-2025
CMP00300,CUST013561,Billing Dispute,High,18-08-2024,Closed,16-08-2023
CMP00301,CUST006544,Interest Rate Query,High,06-02-2024,Open,16-08-2023
CMP00302,CUST002128,Reward Points Missing,High,08-02-2026,Closed,10-09-2026
CMP00303,CUST001858,Statement Error,High,05-07-2025,Closed,08-05-2025
CMP00304,CUST009616,Statement Error,Medium,15-07-2023,Open,16-08-2023
CMP00305,CUST013536,Card Damaged,Low,02-03-2022,Resolved,Low
CMP00306,CUST000625,Card Damaged,Low,06-04-2025,Escalated,04-08-2025
CMP00307,CUST009119,Fraudulent Charge,Critical,19-07-2023,Resolved,28-07-2023
CMP00308,CUST008152,Statement Error,Low,20-10-2025,Resolved,13-11-2025
CMP00309,CUST012705,Wrong Amount Charged,Low,03-01-2023,Open,02-06-2023
CMP00310,CUST003991,Card Damaged,Low,13-05-2026,Open,03-06-2026
CMP00311,CUST003737,Reward Points Missing,Low,25-09-2024,Pending Review,Low
CMP00312,CUST006304,Card Damaged,Low,04-05-2022,Resolved,15-04-2022
CMP00313,CUST008478,Interest Rate Query,Medium,26-03-2022,Pending Review,05-08-2022
CMP00314,CUST013745,Statement Error,Medium,15-04-2024,Open,23-04-2024
CMP00315,CUST002946,Interest Rate Query,Critical,03-06-2024,Escalated,24-03-2024
CMP00316,CUST005746,Reward Points Missing,High,25-03-2025,Resolved,05-04-2025
CMP00317,CUST003769,Card Not Received,Medium,21-12-2023,Closed,29-12-2023
CMP00318,CUST002050,Reward Points Missing,Low,18-11-2025,Resolved,12-06-2025
CMP00319,CUST011637,Card Damaged,Medium,10-12-2023,In Progress,12-11-2023
CMP00320,CUST012025,Statement Error,Critical,09-12-2022,Escalated,14-01-2023
CMP00321,CUST007457,App Not Working,Medium,26-04-2024,Escalated,01-06-2024
CMP00322,CUST005779,Billing Dispute,Medium,21-06-2025,Closed,04-07-2025
CMP00323,CUST000039,Card Not Received,High,02-01-2026,Resolved,23-02-2026
CMP00324,CUST011074,App Not Working,Low,05-12-2025,Open,26-12-2025
CMP00325,CUST002692,Wrong Amount Charged,High,06-08-2023,Escalated,20-09-2023
CMP00326,CUST001797,Wrong Amount Charged,High,09-04-2024,Resolved,09-04-2024
CMP00327,CUST010067,Card Not Received,Medium,27-12-2022,Pending Review,30-12-2022
CMP00328,CUST013587,Fraudulent Charge,Medium,01-05-2025,Resolved,22-05-2025
CMP00329,CUST013295,Billing Dispute,Low,26-03-2026,In Progress,24-04-2026
CMP00330,CUST003063,Reward Points Missing,Low,17-01-2026,In Progress,17-01-2026
CMP00331,CUST012481,Billing Dispute,Medium,03-12-2022,Pending Review,17-12-2022
CMP00332,CUST004989,Card Damaged,Low,28-06-2025,In Progress,16-08-2023
CMP00333,CUST002287,Reward Points Missing,High,11-02-2024,Pending Review,25-02-2024
CMP00334,CUST000784,Fraudulent Charge,Low,11-11-2025,Closed,07-12-2025
