merchant_id,category,city,state,avg_transaction_value,risk_score,onboard_date,is_flagged_risky
MER00041,Grocery,Manchester,England,2450.16,0.09,09-06-2026,Yes
MER00042,Travel,Mumbai,Maharashtra,4451.39,0.73,23-07-2021,Yes
MER00043,Insurance,Manchester,England,410.69,0.35,21-05-2024,Yes
MER00044,Travel,Kolkata,West Bengal,100.07,0.03,12-07-2024,No
MER00045,Furniture,Manchester,England,3456.76,0.44,04-07-2026,Yes
MER00046,Furniture,Chennai,Tamil Nadu,428.54,0.39,12-02-2023,No
MER00047,Fuel,Chennai,Tamil Nadu,452.05,0.45,02-06-2026,Yes
MER00048,Utilities,Kolkata,West Bengal,800.4,0.08,06-04-2022,No
MER00049,Fashion,Dubai,Dubai,588.7,0.03,16-03-2021,Yes
MER00050,Entertainment,Hyderabad,Telangana,7510.82,0.69,05-02-2025,No
MER00051,Grocery,Phoenix,Andhra Pradesh,1001.79,0.46,11-10-2022,No
MER00052,Fuel,Pune,Maharashtra,2965.15,0.32,10-02-2023,Yes
MER00053,Entertainment,London,England,3370.03,0.03,04-04-2022,No
MER00054,Healthcare,Mumbai,Maharashtra,1075.33,0.04,05-11-2022,No
MER00055,Online Shopping,Tokyo,Nagaland,2395.09,0.43,04-04-2021,Yes
MER00056,Fashion,Chicago,Punjab,328.13,0.21,04-10-2022,Yes
MER00057,Education,Tokyo,Nagaland,1111.55,0.23,17-08-2021,No
MER00058,Electronics,Chicago,Punjab,6941.41,0.39,26-02-2021,Yes
MER00059,Utilities,Kolkata,West Bengal,469.12,0.58,17-08-2026,Yes
MER00060,Fashion,Kolkata,West Bengal,1074.58,0.18,17-09-2021,No
MER00061,Entertainment,Sydney,Odisha,3226.27,0.7,29-09-2024,Yes
MER00062,Fashion,Los Angeles,Manipur,2289.78,0.13,30-05-2022,No
MER00063,Healthcare,Tokyo,Nagaland,2096.73,0.4,02-10-2025,Yes
MER00064,Fuel,Melbourne,West Bengal,3938.15,0.68,21-12-2021,No
MER00065,Healthcare,Sydney,Odisha,159.05,0.43,15-06-2024,No
MER00066,Fuel,Sydney,Odisha,3049.5,0.66,06-02-2025,Yes
MER00067,Jewelry,Pune,Andhra Pradesh,4383.47,0.1,24-11-2025,No
MER00068,Fuel,Kolkata,West Bengal,132.61,0.43,25-04-2021,No
MER00069,Automobile,Singapore,Singapore,1737.25,0.6,12-09-2025,Yes
MER00070,Fashion,Sydney,Odisha,957.23,0.57,28-08-2022,No
MER00071,Jewelry,Bengaluru,Karnataka,204.19,0.28,11-06-2023,Yes
MER00072,Fashion,Hyderabad,Telangana,1181.7,0.76,07-04-2021,Yes
MER00073,Insurance,Toronto,Ontario,2165.82,0.45,20-05-2024,Yes
MER00074,Fashion,Pune,Rajasthan,5126.95,0.89,25-07-2021,No
MER00075,Grocery,Melbourne,West Bengal,2037.96,0.7,24-04-2021,No
MER00076,Furniture,Vancouver,Goa,3986.23,0.84,20-11-2022,No
MER00077,Online Shopping,Pune,Maharashtra,359.24,0.85,06-04-2025,Yes
MER00078,Entertainment,Kolkata,West Bengal,572.76,0.84,09-02-2024,No
MER00079,Fashion,London,England,7132.74,0.06,25-06-2024,Yes
MER00080,Dining,Dubai,Dubai,4467.84,0.8,23-01-2024,Yes
MER00081,Utilities,Vancouver,Goa,636.35,0.61,28-10-2023,No
MER00082,Automobile,Coimbatore,Tamil Nadu,2040.3,0.06,08-02-2024,No
MER00083,Education,Chennai,Tamil Nadu,1000.82,0.03,26-12-2025,No
MER00084,Travel,Bengaluru,Karnataka,1364.47,0.93,24-12-2023,No
MER00085,Dining,London,England,4044.81,0.43,12-11-2023,No
MER00086,Jewelry,Singapore,Singapore,2761.44,0.42,22-08-2024,No
MER00087,Entertainment,Manchester,England,644.78,0.47,24-03-2026,Yes
MER00088,Electronics,Vancouver,Goa,859.57,0.81,08-06-2026,Yes
MER00089,Furniture,Chennai,Tamil Nadu,100.07,0.2,27-11-2025,No
MER00090,Fuel,Vancouver,Goa,100.07,0.6,27-01-2023,No
MER00091,Fuel,Sydney,Odisha,1447.04,0.68,08-10-2025,Yes
MER00092,Education,Los Angeles,Manipur,6120.65,0.5,23-03-2022,No
MER00093,Insurance,Houston,Telangana,3493.12,0.74,20-03-2023,No
MER00094,Healthcare,Pune,Andhra Pradesh,574.47,0.76,13-02-2025,No
MER00095,Healthcare,Coimbatore,Tamil Nadu,3183.02,0.96,11-01-2024,No
MER00096,Electronics,Sydney,Odisha,1510.76,0.93,23-07-2025,No
MER00097,Fuel,London,England,685.28,0.03,29-06-2023,Yes
MER00098,Furniture,Los Angeles,Manipur,1003.01,0.12,30-04-2026,No
MER00099,Fashion,Bengaluru,Karnataka,7260.13,0.23,27-04-2026,No
MER00100,Insurance,Tokyo,Nagaland,1423.15,0.01,22-09-2022,No
MER00101,Electronics,London,England,2643.12,0.01,22-06-2022,No
MER00102,Furniture,Sydney,Odisha,1396.67,0.82,03-03-2023,No
MER00103,Healthcare,Chennai,Tamil Nadu,1029.02,0.21,01-10-2021,No
MER00104,Healthcare,London,England,3283.39,0.58,31-01-2024,No
MER00105,Education,Houston,Telangana,3872.02,0.65,07-09-2022,No
MER00106,Online Shopping,Chicago,Punjab,249.21,0.25,26-07-2022,No
MER00107,Travel,Pune,England,754.17,0.03,25-07-2026,No
MER00108,Electronics,Kolkata,West Bengal,1518.03,0.53,10-03-2024,No
MER00109,Electronics,Vancouver,Goa,861.05,0.01,03-01-2024,No
MER00110,Online Shopping,Singapore,Singapore,3161.1,0.39,23-10-2023,No
MER00111,Jewelry,Sydney,Odisha,343.73,0.44,09-11-2022,Yes
MER00112,Entertainment,Mumbai,Maharashtra,3296.98,0.77,01-04-2023,Yes
MER00113,Online Shopping,Bengaluru,Karnataka,2024.07,0.31,02-09-2024,No
MER00114,Fashion,Pune,West Bengal,783.2,0.77,26-01-2024,No
MER00115,Dining,Phoenix,Andhra Pradesh,944.58,0.67,28-12-2025,No
MER00116,Insurance,Delhi,Delhi,503.99,0.64,09-02-2025,No
MER00117,Fashion,Los Angeles,Manipur,682.24,0.81,01-09-2023,No
MER00118,Entertainment,Pune,Maharashtra,2626.52,0.33,02-04-2022,No
MER00119,Education,Coimbatore,Tamil Nadu,1042.84,0.58,09-03-2023,Yes
MER00120,Jewelry,Houston,Telangana,2426.2,0.64,11-01-2024,No
MER00121,Utilities,Chennai,Tamil Nadu,1543.54,0.03,20-09-2021,Yes
MER00122,Dining,Mumbai,Maharashtra,414,0.05,06-12-2023,Yes
MER00123,Fuel,Pune,West Bengal,100.07,0.01,25-07-2023,Yes
MER00124,Online Shopping,Chicago,Punjab,2925.03,0.83,23-04-2025,Yes
MER00125,Entertainment,Delhi,Delhi,806.72,0.55,14-10-2022,No
MER00126,Automobile,Tokyo,Nagaland,2188.71,0.25,13-07-2024,No
MER00127,Grocery,New York,Rajasthan,543.87,0.93,08-12-2024,No
MER00128,Grocery,Pune,West Bengal,391.67,0.02,09-09-2022,No
MER00129,Travel,Dubai,Dubai,993.28,0.02,24-08-2023,No
MER00130,Dining,Coimbatore,Tamil Nadu,1085.98,0.03,09-05-2021,No
MER00131,Fashion,New York,Rajasthan,2962.66,0.03,19-06-2025,No
MER00132,Healthcare,Phoenix,Andhra Pradesh,1332.66,0.87,28-10-2024,No
MER00133,Healthcare,Phoenix,Andhra Pradesh,100.07,0.52,09-07-2022,Yes
MER00134,Healthcare,Phoenix,Andhra Pradesh,2110.24,0.41,30-05-2024,Yes
MER00135,Entertainment,Kolkata,West Bengal,1366.94,0.92,16-02-2022,No
MER00136,Jewelry,Chennai,Tamil Nadu,905.87,0.06,07-05-2023,No
MER00137,Insurance,Chicago,Punjab,3341.19,0.03,28-07-2023,No
MER00138,Travel,Pune,Maharashtra,435.38,0.15,02-06-2022,Yes
MER00139,Insurance,Coimbatore,Tamil Nadu,4988.58,0.03,02-02-2025,No
MER00140,Utilities,Kolkata,West Bengal,913.12,0.48,25-12-2022,No
MER00141,Furniture,Bengaluru,Karnataka,1335.86,0.18,09-10-2022,No
MER00142,Utilities,Houston,Telangana,5396.72,0.42,18-04-2023,No
MER00143,Electronics,Chennai,Tamil Nadu,2964.59,0.19,07-05-2026,No
MER00144,Fashion,Kolkata,West Bengal,254.42,0.01,18-05-2023,Yes
MER00145,Fuel,Dubai,Dubai,1826.91,0.81,19-02-2022,No
MER00146,Insurance,Manchester,England,843.18,0.54,02-05-2021,Yes
MER00147,Fashion,Sydney,Odisha,1520.54,0.49,08-12-2022,No
MER00148,Fuel,Singapore,Singapore,2817.12,0.29,22-01-2026,No
MER00149,Dining,Coimbatore,Tamil Nadu,1471.04,0.25,27-07-2026,No
MER00150,Grocery,Melbourne,West Bengal,247.34,0.44,24-01-2026,No
MER00151,Fashion,Vancouver,Goa,1609.96,0.05,13-03-2021,No
MER00152,Travel,Los Angeles,Manipur,148.85,0.98,10-02-2023,No
MER00153,Furniture,Houston,Telangana,956.68,0.06,29-11-2021,Yes
MER00154,Dining,Sydney,Odisha,100.07,0.96,31-03-2023,Yes
MER00155,Fuel,Los Angeles,Manipur,2169.44,0.86,12-03-2024,No
MER00156,Fuel,Chicago,Punjab,1511.28,1,19-11-2021,No
MER00157,Insurance,Dubai,Dubai,429.62,0.31,22-01-2021,Yes
MER00158,Fuel,Delhi,Delhi,100.07,0.25,15-02-2025,No
MER00159,Insurance,Los Angeles,Manipur,2201.36,0.57,22-03-2024,No
MER00160,Electronics,Coimbatore,Tamil Nadu,862.43,0.03,07-04-2026,No
MER00161,Fashion,Phoenix,Andhra Pradesh,6859.25,0.69,12-02-2025,No
MER00162,Jewelry,Vancouver,Goa,4383.96,0.03,07-05-2024,No
MER00163,Fashion,Melbourne,West Bengal,409.78,0.09,18-11-2022,Yes
MER00164,Electronics,Chennai,Tamil Nadu,2230.91,0.57,12-05-2021,No
MER00165,Insurance,Tokyo,Nagaland,1742.28,0.22,18-09-2021,Yes
MER00166,Jewelry,Manchester,England,528.39,0.03,02-11-2026,No
MER00167,Fuel,Melbourne,West Bengal,631.78,0.23,12-02-2023,Yes
MER00168,Electronics,Manchester,England,1759.19,0.78,31-01-2026,No
MER00169,Education,Mumbai,Maharashtra,875.12,0.08,26-06-2021,No
MER00170,Education,New York,Rajasthan,3701.58,0.76,02-12-2025,No
MER00171,Fashion,Dubai,Dubai,305.7,0.05,09-06-2023,Yes
MER00172,Fashion,Singapore,Singapore,5007.53,0.04,06-09-2022,No
MER00173,Electronics,Hyderabad,Telangana,3772.08,0.59,22-05-2024,No
MER00174,Grocery,Kolkata,West Bengal,2783.59,0.17,09-02-2025,No
MER00175,Entertainment,Hyderabad,Telangana,709.16,0.27,11-07-2024,No
MER00176,Fuel,London,England,2610.24,0.03,19-08-2021,No
MER00177,Furniture,Toronto,Ontario,100.07,0.59,22-05-2022,Yes
MER00178,Utilities,Kolkata,West Bengal,2108.92,0.3,18-04-2025,No
MER00179,Grocery,Tokyo,Nagaland,849.55,0.03,02-10-2024,No
MER00180,Fashion,Chicago,Punjab,3714.04,0.72,28-07-2024,Yes
MER00181,Dining,Pune,Goa,182.84,0.23,07-04-2025,Yes
MER00182,Electronics,Manchester,England,2451.81,0.1,21-01-2021,No
MER00183,Fuel,New York,Rajasthan,3627.88,0.75,09-05-2022,Yes
MER00184,Education,Houston,Telangana,2179.34,0.66,29-05-2023,No
MER00185,Insurance,Manchester,England,526.37,0.24,02-12-2021,No
MER00186,Entertainment,New York,Rajasthan,770.89,0.92,05-02-2023,Yes
MER00187,Fuel,Los Angeles,Manipur,1546.82,0.57,06-07-2024,Yes
MER00188,Furniture,Kolkata,West Bengal,899.31,0.7,05-11-2025,No
MER00189,Automobile,Los Angeles,Manipur,109.86,0.98,04-05-2023,No
MER00190,Insurance,Pune,Goa,183.06,0.62,22-09-2021,No
MER00191,Automobile,Pune,Maharashtra,3020.04,0.58,18-12-2021,No
MER00192,Utilities,Chennai,Tamil Nadu,274.84,0.68,03-01-2026,No
MER00193,Education,Bengaluru,Karnataka,5362.79,0.27,13-03-2023,No
MER00194,Education,Melbourne,West Bengal,1269.43,0.6,02-04-2021,No
MER00195,Electronics,Delhi,Delhi,2939.18,0.14,03-10-2024,Yes
MER00196,Electronics,New York,Rajasthan,100.07,0.96,17-10-2025,No
MER00197,Online Shopping,Tokyo,Nagaland,5321.14,0.73,03-04-2023,Yes
MER00198,Automobile,Pune,Maharashtra,168.79,0.27,24-09-2023,No
MER00199,Online Shopping,Vancouver,Goa,186.1,0.03,17-06-2026,No
MER00200,Automobile,Pune,Odisha,212.26,0.38,23-03-2021,No
MER00201,Entertainment,Sydney,Odisha,318.31,0.03,06-12-2025,No
MER00202,Fuel,Pune,Dubai,1434.3,0.01,26-01-2023,Yes
MER00203,Fashion,Pune,Manipur,3204.95,0.39,16-11-2025,No
MER00204,Furniture,Mumbai,Maharashtra,770.8,0.13,28-03-2024,No
MER00205,Utilities,Pune,Rajasthan,100.07,0.03,18-02-2026,Yes
MER00206,Dining,Mumbai,Maharashtra,3074.98,0.48,06-07-2021,Yes
MER00207,Automobile,New York,Rajasthan,4877.97,0.37,04-06-2025,No
MER00208,Fashion,Hyderabad,Telangana,423.51,0.64,15-07-2023,No
MER00209,Electronics,Kolkata,West Bengal,391.29,0.87,04-12-2026,No
MER00210,Utilities,Singapore,Singapore,360.43,0.28,04-03-2025,No
MER00211,Utilities,Hyderabad,Telangana,990.42,0.28,06-02-2023,No
MER00212,Fuel,Singapore,Singapore,1444.39,0.48,15-03-2026,Yes
MER00213,Travel,New York,Rajasthan,1338.34,0.86,08-03-2021,Yes
MER00214,Dining,Delhi,Delhi,694.25,0.74,29-03-2022,No
MER00215,Healthcare,Toronto,Ontario,2045.61,0.81,25-09-2024,No
MER00216,Education,Pune,Punjab,925.81,0.01,29-01-2022,No
MER00217,Utilities,Manchester,England,1011.67,0.03,24-09-2021,No
MER00218,Healthcare,Sydney,Odisha,323.05,0.47,07-08-2026,Yes
MER00219,Fashion,Bengaluru,Karnataka,1894.11,0.85,21-03-2025,No
MER00220,Jewelry,London,England,2230.05,0.19,22-04-2025,No
MER00221,Furniture,New York,Rajasthan,100.07,0.79,08-03-2022,No
MER00222,Automobile,Melbourne,West Bengal,4787.01,0.28,16-08-2022,No
MER00223,Fuel,Chennai,Tamil Nadu,3004.91,0.29,26-04-2023,No
MER00224,Grocery,Coimbatore,Tamil Nadu,637.7,0.18,21-09-2025,Yes
MER00225,Fuel,Manchester,England,637.47,0.5,03-03-2022,No
MER00226,Fuel,Delhi,Delhi,5032.26,0.29,02-06-2024,No
MER00227,Grocery,Tokyo,Nagaland,3222.57,0.33,17-07-2025,No
MER00228,Fashion,Dubai,Dubai,3148.78,0.31,01-12-2021,No
MER00229,Electronics,Los Angeles,Manipur,2643.89,0.43,04-09-2023,No
MER00230,Travel,Manchester,England,721.77,0.03,01-02-2022,Yes
MER00231,Automobile,Mumbai,Maharashtra,3860.01,0.91,24-12-2025,Yes
MER00232,Electronics,Chennai,Tamil Nadu,408.37,0.48,16-07-2021,No
MER00233,Grocery,Melbourne,West Bengal,100.07,0.01,07-06-2022,No
MER00234,Education,Hyderabad,Telangana,950.75,0.19,05-12-2023,No
MER00235,Healthcare,Manchester,England,1742.56,0.03,02-08-2026,Yes
MER00236,Travel,Melbourne,West Bengal,1345.17,0.88,07-09-2023,No
MER00237,Insurance,Pune,Karnataka,1331.66,0.64,24-02-2024,No
MER00238,Fashion,Pune,Maharashtra,1712.96,0.02,08-08-2025,No
MER00239,Entertainment,Manchester,England,1173.72,0.78,23-03-2022,No
MER00240,Automobile,Los Angeles,Manipur,100.07,0.51,21-06-2024,Yes
MER00241,Entertainment,Bengaluru,Karnataka,2282.01,0.38,09-02-2021,No
MER00242,Education,Dubai,Dubai,100.07,0.71,09-06-2022,Yes
MER00243,Entertainment,Hyderabad,Telangana,1403.99,0.03,19-09-2022,Yes
MER00244,Fashion,New York,Rajasthan,2196.69,0.04,26-05-2023,No
MER00245,Automobile,Toronto,Ontario,1633,0.88,31-05-2021,No
MER00246,Utilities,Sydney,Odisha,221.62,0.95,21-05-2024,No
MER00247,Insurance,Tokyo,Nagaland,1200.12,0.82,15-05-2026,No
MER00248,Utilities,Bengaluru,Karnataka,119.8,0.91,07-06-2021,Yes
MER00249,Utilities,London,England,2268.7,0.09,18-07-2021,No
MER00250,Dining,Mumbai,Maharashtra,1519.21,0.23,13-05-2022,No
MER00251,Education,Toronto,Ontario,371.25,0.7,14-11-2022,No
MER00252,Fuel,Bengaluru,Karnataka,1662.61,0.66,13-03-2026,No
MER00253,Jewelry,Chicago,Punjab,4673.94,0.03,12-02-2024,No
MER00254,Jewelry,Phoenix,Andhra Pradesh,932.52,0.23,03-03-2025,No
MER00255,Fuel,Bengaluru,Karnataka,8176.17,0.76,02-03-2024,No
MER00256,Jewelry,London,England,6506.98,0.03,17-11-2021,No
MER00257,Furniture,Pune,Maharashtra,3177.12,0.74,03-04-2023,No
MER00258,Travel,Singapore,Singapore,3461.87,0.91,25-04-2021,Yes
MER00259,Electronics,Hyderabad,Telangana,1157.12,0.96,07-11-2023,No
MER00260,Automobile,New York,Rajasthan,1130.14,0.24,06-01-2022,No
MER00261,Dining,Los Angeles,Manipur,6275.58,0.66,13-06-2025,No
MER00262,Education,Pune,Maharashtra,1012.03,0.34,23-01-2022,Yes
MER00263,Automobile,Phoenix,Andhra Pradesh,303.78,0.01,11-11-2025,No
MER00264,Fashion,Chicago,Punjab,431.4,0.03,02-01-2026,No
MER00265,Electronics,Sydney,Odisha,100.07,0.39,10-11-2025,No
MER00266,Automobile,Sydney,Odisha,1065.71,0.97,18-10-2021,No
MER00267,Grocery,Pune,West Bengal,544.64,0.96,05-11-2021,No
MER00268,Travel,London,England,3461.72,0.96,29-01-2024,No
MER00269,Grocery,Chennai,Tamil Nadu,1441.49,0.55,05-06-2022,No
MER00270,Furniture,Hyderabad,Telangana,1777,0.82,08-04-2023,No
MER00271,Education,Los Angeles,Manipur,434.35,0.57,28-01-2022,No
MER00272,Fuel,Chicago,Punjab,528.25,0.27,23-11-2023,No
MER00273,Utilities,Pune,Maharashtra,369.02,0.51,17-11-2024,Yes
MER00274,Utilities,Toronto,Ontario,1545.33,0.03,24-09-2021,Yes
MER00275,Furniture,New York,Rajasthan,3089.16,0.5,06-09-2026,No
MER00276,Utilities,Vancouver,Goa,2735.67,0.24,20-03-2021,Yes
MER00277,Dining,Delhi,Delhi,705.54,0.73,12-06-2021,Yes
MER00278,Electronics,London,England,100.07,0.53,24-09-2025,No
MER00279,Fashion,Manchester,England,323.34,0.59,10-09-2022,Yes
MER00280,Entertainment,Chicago,Punjab,342.19,0.97,25-05-2023,No
MER00281,Entertainment,New York,Rajasthan,3884.99,0.99,06-12-2024,Yes
MER00282,Grocery,Delhi,Delhi,660.54,0.26,26-10-2025,No
MER00283,Online Shopping,Kolkata,West Bengal,2562.8,0.03,19-10-2023,Yes
MER00284,Fashion,Chennai,Tamil Nadu,118.24,0.69,14-01-2021,Yes
MER00285,Entertainment,Bengaluru,Karnataka,296.55,0.08,12-02-2024,No
MER00286,Fashion,Manchester,England,1979.57,0.65,19-07-2026,No
MER00287,Automobile,Manchester,England,502.8,0.83,22-01-2025,No
MER00288,Dining,Delhi,Delhi,157.24,0.07,22-04-2022,No
MER00289,Fashion,Mumbai,Maharashtra,1358.27,0.08,04-07-2026,No
MER00290,Entertainment,Pune,Ontario,902.51,0.49,08-02-2021,Yes
MER00291,Electronics,Chennai,Tamil Nadu,3341.57,0.94,26-06-2024,No
MER00292,Online Shopping,Hyderabad,Telangana,3516.63,0.84,14-06-2022,No
MER00293,Education,Manchester,England,2006.03,0.95,07-04-2024,No
MER00294,Entertainment,Mumbai,Maharashtra,793.54,0.57,27-04-2021,No
MER00295,Online Shopping,Dubai,Dubai,1338.41,0.03,08-08-2022,No
MER00296,Fashion,Singapore,Singapore,2523.04,0.4,25-05-2024,No
MER00297,Insurance,London,England,243.65,0.2,20-12-2023,Yes
MER00298,Fashion,Sydney,Odisha,908.42,0.4,15-01-2023,No
MER00299,Travel,New York,Rajasthan,100.07,0.13,01-08-2023,No
MER00300,Utilities,Hyderabad,Telangana,1141.85,0.42,05-01-2022,No
MER00301,Online Shopping,Sydney,Odisha,2059.89,0.9,02-02-2022,No
MER00302,Automobile,Chennai,Tamil Nadu,100.07,0.45,14-10-2023,No
MER00303,Education,Kolkata,West Bengal,3101.58,0.42,08-04-2022,No
MER00304,Education,Chennai,Tamil Nadu,311.76,0.52,23-04-2021,No
MER00305,Entertainment,Vancouver,Goa,4054.13,0.88,27-07-2025,No
MER00306,Automobile,Melbourne,West Bengal,325.44,0.94,29-01-2024,Yes
MER00307,Automobile,Houston,Telangana,4530.85,0.03,01-02-2022,No
MER00308,Fashion,Chicago,Punjab,1004.39,0.24,03-09-2022,No
MER00309,Dining,Dubai,Dubai,2059.16,0.66,16-08-2025,No
MER00310,Fashion,Mumbai,Maharashtra,3848.77,0.88,31-10-2023,No
MER00311,Insurance,Melbourne,West Bengal,120.59,0.46,11-08-2023,No
MER00312,Dining,Singapore,Singapore,717.66,0.88,28-03-2022,Yes
MER00313,Dining,Dubai,Dubai,4879.3,0.21,09-04-2022,No
MER00314,Travel,Coimbatore,Tamil Nadu,100.07,0.34,18-06-2021,No
MER00315,Travel,Pune,Maharashtra,2550.91,0.03,29-05-2024,Yes
MER00316,Utilities,London,England,100.07,0.95,29-10-2025,No
MER00317,Fuel,Singapore,Singapore,2368.72,0.14,29-01-2023,No
MER00318,Fuel,Bengaluru,Karnataka,251.95,0.68,03-04-2026,Yes
MER00319,Insurance,Manchester,England,2626.92,0.24,08-06-2024,No
MER00320,Education,Houston,Telangana,882.55,0.78,06-11-2026,Yes
MER00321,Dining,Singapore,Singapore,1354.15,0.4,07-05-2023,Yes
MER00322,Automobile,Dubai,Dubai,463.67,0.7,27-04-2022,Yes
MER00323,Education,Melbourne,West Bengal,2076.91,0.03,29-04-2023,No
MER00324,Jewelry,Coimbatore,Tamil Nadu,923.67,0.27,19-06-2021,No
MER00325,Fashion,Hyderabad,Telangana,1066.99,0.9,27-01-2025,No
MER00326,Furniture,Pune,Maharashtra,100.07,0.93,04-09-2022,Yes
MER00327,Electronics,Mumbai,Maharashtra,494.13,0.71,20-07-2022,No
MER00328,Dining,Mumbai,Maharashtra,3921.21,0.99,15-04-2021,No
MER00329,Online Shopping,Pune,Telangana,2788.67,0.09,11-09-2024,No
MER00330,Automobile,Manchester,England,100.07,0.22,26-07-2025,No
MER00331,Fuel,New York,Rajasthan,374.7,0.68,06-07-2023,Yes
MER00332,Travel,Manchester,England,2423.81,0.53,08-11-2022,Yes
MER00333,Electronics,Melbourne,West Bengal,100.07,0.39,19-01-2021,No
MER00334,Insurance,Phoenix,Andhra Pradesh,3363.32,0.03,18-03-2026,No
MER00335,Electronics,Sydney,Odisha,824.23,0.03,17-05-2021,No
MER00336,Electronics,Vancouver,Goa,349.34,0.74,18-08-2026,No
MER00337,Fashion,Sydney,Odisha,459.42,0.53,08-06-2023,No
MER00338,Education,Dubai,Dubai,6700.95,0.09,07-02-2026,Yes
MER00339,Dining,Toronto,Ontario,3072.94,0.45,12-07-2021,No
MER00340,Healthcare,Chennai,Tamil Nadu,643.28,0.77,15-08-2022,No
MER00341,Travel,Pune,Maharashtra,6719.04,0.2,14-05-2023,Yes
MER00342,Fuel,Toronto,Ontario,401.92,0.24,15-07-2026,No
MER00343,Dining,Pune,Tamil Nadu,2744.97,0.03,17-10-2022,No
MER00344,Automobile,Vancouver,Goa,2238.53,0.03,13-02-2021,No
MER00345,Education,Mumbai,Maharashtra,3546.07,0.01,12-08-2025,No
MER00346,Education,New York,Rajasthan,1061.56,0.03,13-06-2022,No
MER00347,Fashion,Coimbatore,Tamil Nadu,1127.78,0.46,15-08-2021,No
MER00348,Insurance,Kolkata,West Bengal,2059.35,0.55,01-05-2026,No
MER00349,Healthcare,Melbourne,West Bengal,1115.68,0.39,20-02-2023,No
MER00350,Online Shopping,Tokyo,Nagaland,184.46,0.07,15-12-2021,No
MER00351,Fashion,Pune,Maharashtra,2716.51,0.67,06-03-2025,No
MER00352,Education,Delhi,Delhi,2148.57,0.81,28-07-2024,Yes
MER00353,Automobile,Chicago,Punjab,1202.3,0.57,25-05-2026,No
MER00354,Fuel,Singapore,Singapore,821.45,0.2,30-11-2024,Yes
MER00355,Grocery,Los Angeles,Manipur,873.46,0.28,27-03-2025,Yes
MER00356,Dining,Tokyo,Nagaland,2802.08,0.03,27-02-2022,No
MER00357,Automobile,Chennai,Tamil Nadu,2712.46,0.66,16-08-2023,No
